Δ (ms),β(OBI) only,t(OBI) only,R² only,β(OBI) full,t(OBI) full,γ(Spread),t(Spread),δ(Vol),t(Vol),R² full,β retention,Sig
10,0.10354300228655886,283.8514255050438,0.0491558807167265,0.10372454858088034,285.57582020461,-0.06832632826374879,-116.40029544456637,0.07480110539027796,44.20275265689875,0.05748962348422115,1.0017533419961984,✓
100,0.11720335212872829,221.55263268717212,0.030533094102908942,0.11740901094242162,222.4832570486768,-0.07517908270622456,-88.14933629525977,0.08054882440946604,32.76095329497056,0.035436406632538886,1.0017547178468706,✓
1000,0.13618544351993198,118.05274049155962,0.008862779204877103,0.136213017431909,118.08931581855754,-0.04672274744363717,-25.06377513840938,0.07984496869306698,14.857336773924427,0.00926731786282109,1.000202473269274,✓
5000,0.1322875564760501,54.39708070636395,0.0018950095863037308,0.13153734334387848,54.09220712095169,0.03092953083692357,7.870187670522918,0.16463611030459827,14.531557108783934,0.0022216548025464355,0.9943289213879506,✓
