Period,Δ (ms),β,t-stat,p-value,IC,R²,n
Open,10,0.09595244203306269,88.03160605010004,0.0,0.18478685701823344,0.03414618252667245,219205
Open,100,0.11644717577193561,63.54567458567352,0.0,0.13449277777769433,0.01808830727436994,219205
Open,1000,0.12972750965601956,28.011557023984576,2.3716319007038943e-172,0.05972251692632163,0.0035667790280341505,219205
Open,5000,0.13435805758137206,12.732045478224402,4.045039160529616e-37,0.027184065570151572,0.0007389734209360954,219205
Midday,10,0.10826401798036706,308.0187606540403,0.0,0.27791813674731153,0.07723849073353528,1133472
Midday,100,0.12116113932233219,230.65333974006387,0.0,0.21173594400422066,0.044832109983321655,1133472
Midday,1000,0.1427963803748986,120.22934211817689,0.0,0.11221571879449363,0.012592367544564165,1133472
Midday,5000,0.13683171978983863,55.47323536728525,0.0,0.05203430311829145,0.0027075687009876503,1133472
Close,10,0.12078640746221185,102.34722373856614,0.0,0.2764113218315509,0.0764032188366377,126628
Close,100,0.13691526031064372,67.0996353488531,0.0,0.1852984742954128,0.034335524576208254,126628
Close,1000,0.14924974784189116,36.961647158073724,1.847131000224181e-297,0.10331410719395519,0.010673804745280457,126628
Close,5000,0.18013291636134005,23.57996221355941,1.1398149896388907e-122,0.06611960565949072,0.004371802252560952,126628
