Δ (ms),β (orig),β (mean),β (std),β CI [5%],β CI [95%],n samples,Stable
10,0.10343306743297426,0.10373573746749785,0.000957007902620229,0.1021051611720407,0.10528714464504317,300,✓
100,0.11709362394054076,0.11744269719608842,0.0012459450745079949,0.1151358354107333,0.11945190512834317,300,✓
1000,0.1361595941678606,0.13672500616242847,0.0033668842214199675,0.13037359471933754,0.14173222272496905,300,✓
5000,0.13227030607247442,0.13357508698249934,0.009440142848512682,0.11769451715117317,0.14920083128086875,300,✓
