Δ (ms),β,SE (NW),SE (naive),SE inflation,t-stat (NW),t-stat (naive),p-value,R²,n,maxlags,significant
10,0.15949731606309375,0.001106544573571204,0.0006275436372408648,1.7632950250860218,144.13998303596614,254.1613150033027,0.0,0.03979690318466411,1558595,10,***
50,0.17309577791116923,0.0017797821552946872,0.000780871371568806,2.279225772765909,97.25672178262116,221.6700268616737,0.0,0.03056332994106503,1558595,50,***
100,0.18486824362492685,0.0023037452640828687,0.0008934339426111438,2.5785289255408843,80.24682524893815,206.9187600872116,0.0,0.02673607431464642,1558595,100,***
250,0.19957796279532555,0.0037317879055289403,0.0011628179692670692,3.20926233009721,53.48052136072228,171.6330225969252,0.0,0.01854971685654372,1558595,250,***
500,0.21095932115739366,0.005559729836267028,0.0014635788883405878,3.798722351461816,37.94416767902488,144.1393578699268,0.0,0.013154717140182792,1558595,500,***
1000,0.22019821601272796,0.008565006577569662,0.0019296651229132335,4.4385973897061435,25.70905392990482,114.11213966509,9.258617462100706e-146,0.00828547951970604,1558595,1000,***
2000,0.21336750107467414,0.01413144437748593,0.002623950468782672,5.385560644382866,15.098775141103696,81.31536917831441,1.6496942943703476e-51,0.004224487185387815,1558595,2000,***
5000,0.21072430836603778,0.027560776922078603,0.004038981203520902,6.823695267027497,7.6458043603708825,52.172639026480994,2.076431734705107e-14,0.0017433921345132442,1558595,5000,***
