Δ (ms),β (OBI1),t-stat (OBI1),β (OBI3),t-stat (OBI3),Stronger
10,0.10343306743294613,210.70640196833097,0.15949731606309375,144.13998303596614,OBI1
50,0.11093939642812602,146.68413524817512,0.17309577791116923,97.25672178262116,OBI1
100,0.11709362394050839,120.59280963678574,0.18486824362492685,80.24682524893815,OBI1
250,0.12562421984834302,83.7659029505984,0.19957796279532555,53.48052136072228,OBI1
500,0.13257193008361248,61.618012308703534,0.21095932115739366,37.94416767902488,OBI1
1000,0.1361595941678229,41.11416427730959,0.22019821601272796,25.70905392990482,OBI1
2000,0.13547152571425822,25.256272676292426,0.21336750107467414,15.098775141103696,OBI1
5000,0.13227030607243787,12.717445720848671,0.21072430836603778,7.6458043603708825,OBI1
