Δ (ms),β (orig),β (mean),β (std),β CI [5%],β CI [95%],n samples,Stable
10,0.15949731606309597,0.1602161384856896,0.002179411476175712,0.1565704174068241,0.16359315519894777,300,✓
100,0.1848682436249299,0.18570647045142982,0.0030005047872716565,0.18098400111321317,0.19004905096910935,300,✓
1000,0.22019821601272976,0.22107831209046802,0.008994577827158476,0.20760673230129495,0.2362053062446041,300,✓
5000,0.21072430836604253,0.20963253482629723,0.025070938071891147,0.16525030180195432,0.250219824342025,300,✓
