Δ (ms),β,SE (NW),SE (naive),SE inflation,t-stat (NW),t-stat (naive),p-value,R²,n,maxlags,significant
10,0.10343306743294613,0.0004908871608395271,0.00037680030851874137,1.3027780225798602,210.70640196833097,274.50366970121934,0.0,0.04611676186978497,1558595,10,***
50,0.11093939642812602,0.0007563148955435943,0.0004694356946771143,1.6111150134499257,146.68413524817512,236.32501253325438,0.0,0.034593682431531825,1558595,50,***
100,0.11709362394050839,0.0009709834632196017,0.0005374446796461338,1.8066668068217178,120.59280963678574,217.871026312151,0.0,0.02955540946894397,1558595,100,***
250,0.12562421984834302,0.00149970591163365,0.0006999002620564671,2.142742320494596,83.7659029505984,179.48874526669033,0.0,0.02025146037753489,1558595,250,***
500,0.13257193008361248,0.0021515126034808286,0.0008811746307513103,2.441641563882063,61.618012308703534,150.4490999367271,0.0,0.014314781075340122,1558595,500,***
1000,0.1361595941678229,0.0033117441777350616,0.001162213691708913,2.8495139933048717,41.11416427730959,117.15538643122895,0.0,0.008729392662878976,1558595,1000,***
2000,0.13547152571425822,0.0053638764298511365,0.0015803555131068076,3.394094800420152,25.256272676292426,85.72218376859767,9.66407947228581e-141,0.0046925723357633675,1558595,2000,***
5000,0.13227030607243787,0.010400697512362654,0.0024329915857877124,4.274859630883308,12.717445720848671,54.36529532000566,4.730728910302136e-37,0.0018927271063237106,1558595,5000,***
